kernelSize;density;delta
19;30;0,076732
16;91;0,065834
19;31;0,077045
18;34;0,078061
17;71;0,070155
19;32;0,079160
18;35;0,078058
16;92;0,068217
19;33;0,076317
17;72;0,069493
18;36;0,075616
19;34;0,077806
18;37;0,071211
17;73;0,069602
16;93;0,067694
19;35;0,078197
18;38;0,076416
19;36;0,074585
18;39;0,076399
17;74;0,069014
16;94;0,067072
19;37;0,070600
18;40;0,074969
17;75;0,069779
19;38;0,076119
18;41;0,077882
16;95;0,067291
19;39;0,076129
18;42;0,077400
17;76;0,069680
2;47;0,447256
19;40;0,074805
16;96;0,066918
18;43;0,076438
19;41;0,077415
17;77;0,069263
3;69;0,383622
18;44;0,076033
19;42;0,076609
16;97;0,066766
18;45;0,075501
17;78;0,069468
19;43;0,076376
18;46;0,074769
19;44;0,075804
17;79;0,068231
16;98;0,066239
18;47;0,074702
19;45;0,075886
17;80;0,068485
18;48;0,073547
19;46;0,074660
4;93;0,321263
16;99;0,066014
1;23;0,487879
18;49;0,074243
19;47;0,074479
17;81;0,067624
19;48;0,073373
18;50;0,073083
16;100;0,065898
19;49;0,074731
17;82;0,066973
20;1;0,284067
18;51;0,073270
20;2;0,189713
19;50;0,073115
20;3;0,136208
20;4;0,120142
18;52;0,072648
17;83;0,067416
20;5;0,115012
19;51;0,073511
20;6;0,119627
18;53;0,073121
20;7;0,095875
19;52;0,072715
17;84;0,066704
20;8;0,100868
18;54;0,070236
19;53;0,073144
20;9;0,110720
17;85;0,064517
20;10;0,109767
18;55;0,068054
19;54;0,071132
20;11;0,102319
20;12;0,094928
18;56;0,071381
19;55;0,068014
17;86;0,067298
20;13;0,097583
20;14;0,091803
19;56;0,071837
18;57;0,071290
20;15;0,094978
17;87;0,067637
19;57;0,071270
20;16;0,089302
18;58;0,070943
20;17;0,090882
19;58;0,071862
17;88;0,067783
20;18;0,085805
18;59;0,070546
20;19;0,076250
19;59;0,071608
18;60;0,070008
20;20;0,084966
17;89;0,068076
19;60;0,070755
20;21;0,084055
18;61;0,067507
20;22;0,089204
19;61;0,068128
17;90;0,067679
20;23;0,086401
18;62;0,071375
19;62;0,071992
4;94;0,323614
20;24;0,085594
17;91;0,066469
3;70;0,386463
18;63;0,070788
20;25;0,084108
19;63;0,072183
20;26;0,081755
18;64;0,071113
17;92;0,068751
19;64;0,071960
20;27;0,080108
18;65;0,070124
20;28;0,078943
19;65;0,071043
17;93;0,068131
20;29;0,079916
18;66;0,070603
19;66;0,071501
20;30;0,076962
17;94;0,067715
20;31;0,075787
19;67;0,071461
18;67;0,070745
20;32;0,078647
19;68;0,071394
18;68;0,070587
20;33;0,074876
17;95;0,068045
20;34;0,076804
19;69;0,070408
18;69;0,069453
20;35;0,076460
17;96;0,067633
19;70;0,070408
18;70;0,069787
20;36;0,073622
2;48;0,449336
17;97;0,067253
20;37;0,069769
19;71;0,071098
18;71;0,070361
20;38;0,075009
19;72;0,070452
18;72;0,069747
20;39;0,074884
17;98;0,067241
20;40;0,073732
19;73;0,070669
18;73;0,069420
17;99;0,066732
20;41;0,077064
19;74;0,070105
18;74;0,069267
20;42;0,075973
17;100;0,066571
20;43;0,075175
19;75;0,070968
18;75;0,069796
21;1;0,283235
21;2;0,192528
4;95;0,326354
20;44;0,074722
19;76;0,070233
21;3;0,138158
21;4;0,122716
18;76;0,069611
20;45;0,074328
21;5;0,117834
19;77;0,070274
21;6;0,116797
20;46;0,073784
18;77;0,069486
21;7;0,095268
21;8;0,101032
19;78;0,070201
20;47;0,073025
21;9;0,113054
18;78;0,069697
21;10;0,111515
20;48;0,072423
19;79;0,069251
21;11;0,104367
18;79;0,068514
21;12;0,097346
20;49;0,073099
21;13;0,100287
19;80;0,069266
3;71;0,389321
20;50;0,071952
21;14;0,093663
18;80;0,068843
21;15;0,097362
19;81;0,068607
20;51;0,072106
21;16;0,092091
18;81;0,068196
21;17;0,094857
20;52;0,071841
19;82;0,067824
21;18;0,089182
18;82;0,067140
20;53;0,071732
21;19;0,079193
19;83;0,068265
21;20;0,088610
20;54;0,069416
18;83;0,068012
21;21;0,087560
19;84;0,067461
21;22;0,091663
20;55;0,066575
21;23;0,091098
18;84;0,066854
19;85;0,065024
20;56;0,071116
21;24;0,088811
21;25;0,088014
20;57;0,069936
18;85;0,064829
19;86;0,067715
21;26;0,085617
20;58;0,070251
18;86;0,067573
19;87;0,067969
21;27;0,082821
20;59;0,070291
21;28;0,083357
19;88;0,068344
21;29;0,083686
18;87;0,067764
20;60;0,069329
4;96;0,328855
21;30;0,079492
20;61;0,066675
19;89;0,068765
18;88;0,067924
21;31;0,079690
20;62;0,071221
21;32;0,081822
19;90;0,067892
18;89;0,068398
21;33;0,078943
20;63;0,070349
21;34;0,080382
19;91;0,066837
20;64;0,070930
18;90;0,067572
21;35;0,078931
21;36;0,076719
20;65;0,069581
19;92;0,069017
18;91;0,066179
21;37;0,071772
20;66;0,070478
19;93;0,068808
21;38;0,076954
18;92;0,068733
20;67;0,070185
21;39;0,077175
19;94;0,068281
21;40;0,076068
18;93;0,068283
20;68;0,070213
2;49;0,451003
21;41;0,078807
19;95;0,068092
20;69;0,068716
21;42;0,077875
18;94;0,067767
3;72;0,391642
20;70;0,069033
19;96;0,067841
21;43;0,076691
18;95;0,067761
21;44;0,076791
20;71;0,069857
19;97;0,067647
21;45;0,076226
20;72;0,069261
18;96;0,067386
21;46;0,075599
19;98;0,067357
20;73;0,068671
21;47;0,075580
18;97;0,067127
20;74;0,068694
19;99;0,067031
21;48;0,074304
4;97;0,331455
21;49;0,074891
18;98;0,066737
1;24;0,488539
20;75;0,069032
19;100;0,066873
21;50;0,073921
22;1;0,281585
20;76;0,068826
22;2;0,191272
18;99;0,066586
21;51;0,073804
22;3;0,137337
22;4;0,119921
20;77;0,068982
22;5;0,116342
21;52;0,072541
22;6;0,117507
18;100;0,066199
22;7;0,095179
20;78;0,068705
21;53;0,073094
23;1;0,284556
22;8;0,101554
23;2;0,190791
21;54;0,070534
23;3;0,136728
22;9;0,112718
20;79;0,068114
23;4;0,120526
22;10;0,110295
21;55;0,068445
22;11;0,103235
23;5;0,115713
20;80;0,067976
23;6;0,118091
22;12;0,096213
21;56;0,071721
23;7;0,096387
22;13;0,098817
23;8;0,100198
20;81;0,067486
22;14;0,093367
21;57;0,071061
23;9;0,112733
22;15;0,096980
23;10;0,113546
21;58;0,071679
22;16;0,091467
20;82;0,066482
23;11;0,105462
22;17;0,092976
23;12;0,097965
21;59;0,071167
22;18;0,087667
20;83;0,067319
23;13;0,100845
22;19;0,078797
21;60;0,070887
23;14;0,093998
22;20;0,086709
23;15;0,096925
20;84;0,066286
21;61;0,068233
23;16;0,091927
22;21;0,086563
23;17;0,094681
22;22;0,090843
21;62;0,072051
20;85;0,064078
23;18;0,089753
22;23;0,088636
23;19;0,079710
21;63;0,071539
22;24;0,087320
23;20;0,087729
20;86;0,066982
22;25;0,087271
21;64;0,071593
23;21;0,086981
22;26;0,084555
23;22;0,091833
20;87;0,066762
4;98;0,333728
21;65;0,070913
3;73;0,393505
22;27;0,082019
23;23;0,088883
22;28;0,082494
23;24;0,087341
20;88;0,067355
21;66;0,070997
23;25;0,086623
22;29;0,082716
22;30;0,079095
23;26;0,084587
21;67;0,071355
20;89;0,067904
23;27;0,081313
22;31;0,079132
21;68;0,071131
23;28;0,081623
20;90;0,066906
22;32;0,081636
23;29;0,082159
22;33;0,079138
21;69;0,069959
20;91;0,065609
23;30;0,078752
22;34;0,080163
21;70;0,070367
23;31;0,078457
22;35;0,079290
20;92;0,068120
23;32;0,080863
22;36;0,076422
21;71;0,070400
23;33;0,078026
22;37;0,072150
20;93;0,067300
21;72;0,069936
23;34;0,078208
22;38;0,077980
23;35;0,078209
2;50;0,452736
21;73;0,069955
20;94;0,067057
22;39;0,077672
23;36;0,075135
22;40;0,076282
23;37;0,071637
21;74;0,069271
20;95;0,066850
23;38;0,077017
22;41;0,079853
21;75;0,069994
23;39;0,076448
22;42;0,078742
20;96;0,066989
21;76;0,070004
23;40;0,075553
22;43;0,077770
20;97;0,066280
23;41;0,078319
21;77;0,070328
22;44;0,077748
23;42;0,078318
22;45;0,077509
21;78;0,070381
20;98;0,066464
23;43;0,077692
22;46;0,076878
21;79;0,069226
23;44;0,077018
20;99;0,065540
4;99;0,336162
22;47;0,076063
23;45;0,075944
21;80;0,069220
22;48;0,075067
23;46;0,075960
20;100;0,066290
22;49;0,075191
24;1;0,284380
23;47;0,075000
21;81;0,068487
24;2;0,190379
22;50;0,074030
24;3;0,138435
23;48;0,074569
24;4;0,120426
21;82;0,067777
22;51;0,074348
24;5;0,116185
23;49;0,074907
24;6;0,116488
21;83;0,068148
23;50;0,073967
22;52;0,073255
24;7;0,093500
24;8;0,096693
23;51;0,074092
22;53;0,074115
21;84;0,067658
24;9;0,112126
23;52;0,072693
24;10;0,110029
22;54;0,071317
3;74;0,396184
24;11;0,103295
21;85;0,065284
23;53;0,073541
22;55;0,068841
24;12;0,095907
24;13;0,098351
23;54;0,071281
22;56;0,072374
21;86;0,067975
24;14;0,092118
24;15;0,095758
23;55;0,068415
22;57;0,071804
24;16;0,090625
21;87;0,068353
24;17;0,093603
23;56;0,072206
22;58;0,071973
24;18;0,087283
21;88;0,068452
23;57;0,071603
22;59;0,071665
24;19;0,078245
24;20;0,086309
23;58;0,071997
21;89;0,069127
22;60;0,070931
24;21;0,085745
23;59;0,072179
24;22;0,090671
22;61;0,068342
21;90;0,068055
24;23;0,088620
23;60;0,070723
22;62;0,072327
24;24;0,086824
21;91;0,067235
23;61;0,068857
24;25;0,086631
22;63;0,071789
24;26;0,084077
23;62;0,072677
21;92;0,069060
22;64;0,071822
24;27;0,081595
23;63;0,072232
24;28;0,081358
22;65;0,070892
21;93;0,069214
24;29;0,082511
4;100;0,338639
23;64;0,072670
25;1;0,279865
24;30;0,078044
22;66;0,071272
25;2;0,186116
23;65;0,071384
21;94;0,067848
25;3;0,133347
24;31;0,078143
25;4;0,115096
22;67;0,071913
23;66;0,071975
24;32;0,079902
25;5;0,112019
25;6;0,115381
24;33;0,077275
21;95;0,069110
22;68;0,071325
23;67;0,071519
25;7;0,092323
24;34;0,078795
25;8;0,094682
21;96;0,068174
23;68;0,071542
24;35;0,078080
22;69;0,069807
25;9;0,104800
24;36;0,075865
25;10;0,107785
23;69;0,070197
22;70;0,070241
25;11;0,100380
21;97;0,068234
24;37;0,071582
25;12;0,092074
23;70;0,070485
22;71;0,070577
25;13;0,095754
24;38;0,076712
21;98;0,067158
25;14;0,090378
23;71;0,070821
24;39;0,076822
22;72;0,070040
25;15;0,093528
25;16;0,088750
24;40;0,075807
21;99;0,067519
23;72;0,070404
22;73;0,069659
25;17;0,090711
24;41;0,078897
25;18;0,085221
23;73;0,070197
21;100;0,067191
2;51;0,454410
22;74;0,069642
24;42;0,078015
25;19;0,076339
26;1;0,281655
26;2;0,190904
24;43;0,077280
23;74;0,069650
25;20;0,084109
22;75;0,070185
26;3;0,135042
25;21;0,085512
24;44;0,077139
26;4;0,116928
23;75;0,070429
22;76;0,069833
25;22;0,089314
26;5;0,115333
24;45;0,076094
26;6;0,116555
25;23;0,087239
23;76;0,070354
24;46;0,075552
26;7;0,092608
22;77;0,070050
25;24;0,085884
26;8;0,098054
3;75;0,398558
25;25;0,084523
23;77;0,070232
24;47;0,074757
26;9;0,107385
22;78;0,069846
25;26;0,082286
26;10;0,109558
24;48;0,074037
23;78;0,070430
26;11;0,103226
25;27;0,079382
22;79;0,068865
24;49;0,074456
26;12;0,095385
25;28;0,080010
23;79;0,069469
26;13;0,098818
22;80;0,068829
24;50;0,073648
25;29;0,080615
26;14;0,092422
23;80;0,069011
25;30;0,077608
26;15;0,095061
24;51;0,073805
22;81;0,068380
26;16;0,089490
25;31;0,077172
23;81;0,068902
24;52;0,072711
26;17;0,091510
25;32;0,080061
22;82;0,067340
26;18;0,086189
23;82;0,068325
24;53;0,073367
25;33;0,076816
1;25;0,489452
26;19;0,076922
22;83;0,068181
25;34;0,078307
24;54;0,070681
26;20;0,085050
23;83;0,068633
25;35;0,077466
26;21;0,084867
24;55;0,067889
22;84;0,067035
25;36;0,075036
26;22;0,089507
23;84;0,067668
24;56;0,071680
26;23;0,087549
25;37;0,070948
22;85;0,064643
24;57;0,071382
26;24;0,086051
23;85;0,065509
25;38;0,075289
26;25;0,085575
22;86;0,067690
25;39;0,075524
24;58;0,071463
23;86;0,067425
26;26;0,082685
25;40;0,073712
26;27;0,080693
22;87;0,067985
24;59;0,071518
23;87;0,068530
25;41;0,076630
26;28;0,080163
24;60;0,070579
22;88;0,067935
25;42;0,076622
23;88;0,068058
26;29;0,081326
24;61;0,067935
25;43;0,075432
26;30;0,078518
22;89;0,068703
23;89;0,068908
25;44;0,075380
26;31;0,077139
24;62;0,072248
26;32;0,080769
22;90;0,067020
25;45;0,074453
24;63;0,071310
23;90;0,068210
26;33;0,077064
25;46;0,074028
22;91;0,066664
24;64;0,072398
26;34;0,079466
23;91;0,067029
25;47;0,073679
26;35;0,078167
24;65;0,070820
22;92;0,068579
25;48;0,072513
23;92;0,068938
26;36;0,075458
24;66;0,071380
25;49;0,073937
26;37;0,070930
22;93;0,068519
23;93;0,068843
24;67;0,071552
25;50;0,072852
26;38;0,077186
22;94;0,067719
24;68;0,071131
26;39;0,076551
25;51;0,073084
23;94;0,067978
26;40;0,075339
24;69;0,069961
25;52;0,072022
22;95;0,067851
26;41;0,078203
23;95;0,068025
25;53;0,072522
24;70;0,070201
26;42;0,077666
22;96;0,067742
25;54;0,070853
23;96;0,067900
24;71;0,070923
26;43;0,077261
25;55;0,067610
22;97;0,067362
3;76;0,400758
26;44;0,076485
24;72;0,070272
23;97;0,067724
25;56;0,071604
26;45;0,075849
24;73;0,070230
22;98;0,067056
25;57;0,071007
23;98;0,067347
26;46;0,075709
24;74;0,069619
25;58;0,071466
26;47;0,074454
22;99;0,066865
23;99;0,067218
24;75;0,070575
26;48;0,074390
25;59;0,070844
22;100;0,066838
26;49;0,074594
23;100;0,066988
25;60;0,070120
24;76;0,070090
27;1;0,280150
28;1;0,282576
26;50;0,072944
27;2;0,191486
24;77;0,070401
25;61;0,067938
28;2;0,193541
27;3;0,136678
26;51;0,073437
27;4;0,121462
25;62;0,071225
28;3;0,138784
24;78;0,070279
27;5;0,115947
26;52;0,072251
28;4;0,120120
27;6;0,116561
25;63;0,071190
24;79;0,069369
28;5;0,116367
27;7;0,092498
26;53;0,073508
28;6;0,115902
27;8;0,097457
2;52;0,456235
25;64;0,071424
24;80;0,069421
26;54;0,070530
27;9;0,105252
28;7;0,094324
28;8;0,098844
27;10;0,105463
25;65;0,070327
26;55;0,067873
28;9;0,109874
27;11;0,097941
24;81;0,068911
25;66;0,070696
28;10;0,107023
27;12;0,095702
26;56;0,071828
27;13;0,097391
28;11;0,100209
24;82;0,067261
25;67;0,070521
27;14;0,092879
28;12;0,094366
26;57;0,071113
27;15;0,094726
28;13;0,099678
24;83;0,069009
25;68;0,070529
26;58;0,071695
27;16;0,090917
28;14;0,091797
27;17;0,093198
28;15;0,096274
25;69;0,069461
26;59;0,071406
24;84;0,067677
27;18;0,087349
28;16;0,091542
26;60;0,070505
27;19;0,079451
24;85;0,065673
28;17;0,094245
25;70;0,069611
27;20;0,087537
28;18;0,088381
26;61;0,068285
27;21;0,085974
24;86;0,067812
28;19;0,079829
25;71;0,070091
26;62;0,072469
27;22;0,090905
28;20;0,088304
24;87;0,068681
25;72;0,069566
27;23;0,089437
26;63;0,071897
28;21;0,087698
27;24;0,087985
28;22;0,092247
24;88;0,068135
25;73;0,069359
26;64;0,072104
27;25;0,086094
28;23;0,090718
26;65;0,071122
27;26;0,083791
28;24;0,089291
24;89;0,069269
25;74;0,068902
27;27;0,081069
28;25;0,087869
26;66;0,071688
24;90;0,067744
28;26;0,084125
25;75;0,069460
27;28;0,081190
28;27;0,082537
26;67;0,071707
27;29;0,081642
25;76;0,069476
24;91;0,066948
28;28;0,082737
27;30;0,078761
26;68;0,071235
28;29;0,082703
27;31;0,078041
25;77;0,069346
24;92;0,068771
28;30;0,079741
26;69;0,070097
27;32;0,080409
25;78;0,069555
28;31;0,079065
24;93;0,068380
27;33;0,077706
26;70;0,070195
28;32;0,081398
27;34;0,078826
25;79;0,067724
26;71;0,070719
28;33;0,078421
24;94;0,067887
27;35;0,079092
28;34;0,080551
25;80;0,068397
26;72;0,069868
3;77;0,402945
27;36;0,076097
28;35;0,080822
24;95;0,067628
27;37;0,071069
26;73;0,070522
25;81;0,067185
28;36;0,077378
27;38;0,077078
24;96;0,067352
26;74;0,069394
25;82;0,067225
28;37;0,073082
27;39;0,076625
28;38;0,078187
26;75;0,070641
24;97;0,067377
25;83;0,067333
27;40;0,075772
28;39;0,078032
26;76;0,068915
25;84;0,066542
24;98;0,066990
28;40;0,076873
27;41;0,078863
26;77;0,070183
25;85;0,064308
27;42;0,078243
28;41;0,080013
24;99;0,066792
26;78;0,069643
28;42;0,078957
27;43;0,077795
25;86;0,067617
28;43;0,078796
26;79;0,069156
27;44;0,076908
24;100;0,066670
25;87;0,067421
28;44;0,077515
29;1;0,284015
27;45;0,076515
26;80;0,069204
29;2;0,191102
28;45;0,078008
29;3;0,139216
25;88;0,067422
27;46;0,075989
29;4;0,123851
26;81;0,068562
28;46;0,076633
27;47;0,075750
29;5;0,118128
25;89;0,068054
28;47;0,076469
29;6;0,117547
26;82;0,067487
27;48;0,074748
29;7;0,094869
28;48;0,075623
25;90;0,067323
29;8;0,097603
27;49;0,074685
26;83;0,068618
28;49;0,076191
29;9;0,105887
27;50;0,074365
29;10;0,105197
25;91;0,066265
28;50;0,075177
26;84;0,067228
29;11;0,098035
27;51;0,074148
28;51;0,075259
29;12;0,091465
25;92;0,068538
26;85;0,065493
27;52;0,073286
29;13;0,093184
28;52;0,074753
29;14;0,092679
25;93;0,067850
27;53;0,073660
26;86;0,068081
28;53;0,075151
29;15;0,095862
27;54;0,070834
29;16;0,091132
28;54;0,072351
25;94;0,067531
26;87;0,067998
29;17;0,093892
27;55;0,068672
28;55;0,069716
29;18;0,088059
25;95;0,067455
26;88;0,068512
27;56;0,072172
29;19;0,078658
28;56;0,074150
29;20;0,086920
25;96;0,067851
26;89;0,069298
27;57;0,071536
28;57;0,073231
29;21;0,086998
27;58;0,071710
26;90;0,068329
25;97;0,066997
28;58;0,073688
29;22;0,091631
27;59;0,071196
28;59;0,073163
29;23;0,089572
26;91;0,066808
25;98;0,066884
29;24;0,088614
2;53;0,457679
27;60;0,071005
28;60;0,072565
29;25;0,087239
26;92;0,068862
25;99;0,066566
28;61;0,069900
27;61;0,068180
29;26;0,085043
26;93;0,068586
29;27;0,081147
28;62;0,073864
27;62;0,072013
25;100;0,066368
29;28;0,081633
30;1;0,277789
28;63;0,073631
27;63;0,071459
26;94;0,067814
30;2;0,190877
29;29;0,082485
30;3;0,134483
28;64;0,073802
27;64;0,071593
29;30;0,078998
30;4;0,117383
26;95;0,067982
3;78;0,404904
30;5;0,113048
28;65;0,073179
27;65;0,070427
29;31;0,078871
30;6;0,114322
29;32;0,080914
26;96;0,067581
30;7;0,091784
27;66;0,070709
28;66;0,073195
30;8;0,096836
29;33;0,077909
27;67;0,070646
28;67;0,073534
30;9;0,106631
26;97;0,067186
29;34;0,079766
30;10;0,107682
29;35;0,079735
28;68;0,072878
27;68;0,070206
30;11;0,100513
26;98;0,067253
30;12;0,093149
29;36;0,075983
28;69;0,072083
27;69;0,068885
30;13;0,096370
26;99;0,066592
29;37;0,071269
30;14;0,090802
27;70;0,069946
29;38;0,077034
28;70;0,071289
30;15;0,096098
26;100;0,067172
29;39;0,076250
30;16;0,090709
28;71;0,073802
27;71;0,069737
31;1;0,278890
29;40;0,075633
30;17;0,092915
31;2;0,187228
28;72;0,072132
31;3;0,133990
27;72;0,069794
30;18;0,087987
29;41;0,078909
31;4;0,116696
30;19;0,079023
28;73;0,071306
27;73;0,068328
31;5;0,114588
30;20;0,087176
29;42;0,078178
31;6;0,115877
28;74;0,071103
30;21;0,086529
27;74;0,069623
29;43;0,077884
31;7;0,091875
30;22;0,092061
31;8;0,097859
1;26;0,490520
29;44;0,076560
28;75;0,072138
27;75;0,068708
31;9;0,105163
30;23;0,089034
29;45;0,077016
31;10;0,106121
28;76;0,071585
30;24;0,088651
27;76;0,069050
31;11;0,099142
29;46;0,076738
30;25;0,086342
28;77;0,071491
31;12;0,092334
27;77;0,069074
29;47;0,076021
30;26;0,084431
31;13;0,095291
28;78;0,071426
30;27;0,082062
31;14;0,089183
29;48;0,074931
27;78;0,068705
31;15;0,090821
30;28;0,081641
29;49;0,075150
28;79;0,070604
31;16;0,090557
27;79;0,068137
30;29;0,082341
31;17;0,092220
29;50;0,074641
30;30;0,079055
28;80;0,070402
27;80;0,068021
31;18;0,087862
29;51;0,074523
30;31;0,078254
31;19;0,079428
28;81;0,069921
27;81;0,067658
30;32;0,080770
29;52;0,073817
31;20;0,086861
30;33;0,077887
28;82;0,068901
31;21;0,084858
27;82;0,066838
29;53;0,074538
30;34;0,079834
31;22;0,088897
28;83;0,069592
27;83;0,067307
29;54;0,071657
31;23;0,088596
30;35;0,079022
31;24;0,086175
28;84;0,068502
30;36;0,076403
29;55;0,069204
27;84;0,066666
31;25;0,085194
30;37;0,071961
28;85;0,066739
29;56;0,073243
31;26;0,083159
30;38;0,077129
27;85;0,064681
31;27;0,080844
29;57;0,073065
28;86;0,069342
30;39;0,077136
31;28;0,080211
27;86;0,067135
29;58;0,072923
30;40;0,076245
31;29;0,081158
28;87;0,069161
29;59;0,072227
30;41;0,079724
27;87;0,067569
31;30;0,077936
28;88;0,069822
31;31;0,077716
30;42;0,079106
29;60;0,072103
27;88;0,067692
31;32;0,079494
30;43;0,077990
29;61;0,069465
28;89;0,069696
31;33;0,077566
30;44;0,076759
27;89;0,067955
29;62;0,073457
31;34;0,078271
3;79;0,406784
28;90;0,069319
30;45;0,076830
31;35;0,077614
27;90;0,067382
29;63;0,073239
30;46;0,076740
28;91;0,067586
31;36;0,075310
27;91;0,065783
29;64;0,073449
30;47;0,075807
31;37;0,070546
28;92;0,070683
29;65;0,072468
31;38;0,075789
30;48;0,074967
27;92;0,068252
28;93;0,070232
29;66;0,072385
31;39;0,076087
30;49;0,075251
27;93;0,067970
31;40;0,074634
28;94;0,069491
29;67;0,073070
30;50;0,074109
31;41;0,077830
29;68;0,071475
27;94;0,067202
28;95;0,069336
30;51;0,074065
31;42;0,077402
29;69;0,071269
30;52;0,073850
31;43;0,076740
27;95;0,067823
28;96;0,068973
30;53;0,074188
31;44;0,076133
29;70;0,070978
28;97;0,069128
27;96;0,067274
30;54;0,071435
31;45;0,075663
29;71;0,072034
28;98;0,068586
30;55;0,069436
27;97;0,067136
31;46;0,074602
29;72;0,071409
31;47;0,074639
30;56;0,073257
2;54;0,458972
27;98;0,066498
28;99;0,068202
29;73;0,070877
31;48;0,073208
30;57;0,072510
29;74;0,070527
27;99;0,066291
31;49;0,073738
28;100;0,068755
30;58;0,073020
31;50;0,073463
29;75;0,071378
32;1;0,280038
30;59;0,072788
27;100;0,066318
32;2;0,190264
31;51;0,072846
32;3;0,138395
29;76;0,071047
30;60;0,072054
33;1;0,276084
33;2;0,188894
32;4;0,123403
31;52;0,072379
29;77;0,070754
33;3;0,133282
30;61;0,069707
32;5;0,116039
33;4;0,122712
32;6;0,117656
31;53;0,073069
30;62;0,073933
29;78;0,070576
33;5;0,116397
32;7;0,095967
33;6;0,115935
31;54;0,070144
30;63;0,073142
32;8;0,097360
29;79;0,069961
33;7;0,094584
32;9;0,105628
31;55;0,067608
33;8;0,101882
30;64;0,073459
29;80;0,069826
32;10;0,104843
33;9;0,109580
31;56;0,071757
30;65;0,072760
33;10;0,109230
32;11;0,095675
29;81;0,069097
33;11;0,100290
31;57;0,071235
30;66;0,073330
32;12;0,091803
33;12;0,094348
29;82;0,068489
32;13;0,093190
31;58;0,071061
33;13;0,095896
30;67;0,073114
32;14;0,087521
29;83;0,068777
33;14;0,090575
32;15;0,089982
31;59;0,070971
30;68;0,072326
33;15;0,092440
32;16;0,086704
29;84;0,067392
31;60;0,070797
33;16;0,088344
32;17;0,092317
30;69;0,071343
32;18;0,087713
33;17;0,090708
29;85;0,065928
31;61;0,067924
30;70;0,072046
32;19;0,077449
33;18;0,088026
29;86;0,068432
31;62;0,072103
32;20;0,087102
33;19;0,078955
30;71;0,072186
33;20;0,088950
32;21;0,086371
31;63;0,071452
29;87;0,068539
33;21;0,087823
30;72;0,071820
32;22;0,090501
33;22;0,092770
31;64;0,073053
29;88;0,068617
32;23;0,088391
30;73;0,071333
33;23;0,091014
32;24;0,088071
31;65;0,070862
33;24;0,089750
29;89;0,068903
30;74;0,070955
32;25;0,087291
33;25;0,088947
31;66;0,070509
29;90;0,068307
32;26;0,084712
33;26;0,086198
30;75;0,071491
31;67;0,070852
32;27;0,081871
33;27;0,084023
3;80;0,408442
29;91;0,067096
30;76;0,071243
31;68;0,070751
32;28;0,082261
33;28;0,084148
32;29;0,082981
29;92;0,069385
33;29;0,083823
31;69;0,069209
30;77;0,070929
32;30;0,079861
33;30;0,079631
29;93;0,069362
30;78;0,071438
31;70;0,069613
32;31;0,078885
33;31;0,079937
30;79;0,070132
32;32;0,081341
29;94;0,068349
31;71;0,070690
33;32;0,080986
32;33;0,077669
30;80;0,070368
31;72;0,069432
33;33;0,078306
29;95;0,068689
32;34;0,079711
33;34;0,079737
30;81;0,069649
31;73;0,069558
32;35;0,078269
29;96;0,068024
33;35;0,079022
31;74;0,069182
30;82;0,068547
32;36;0,075250
33;36;0,076193
29;97;0,068226
32;37;0,070445
31;75;0,070031
33;37;0,072096
30;83;0,069166
32;38;0,075946
29;98;0,067746
31;76;0,069820
33;38;0,077628
32;39;0,076400
30;84;0,068052
33;39;0,077388
29;99;0,067426
31;77;0,069868
32;40;0,075370
30;85;0,065939
33;40;0,076592
32;41;0,078034
31;78;0,070256
29;100;0,067666
33;41;0,079029
30;86;0,068724
32;42;0,076957
31;79;0,068986
34;1;0,276750
33;42;0,079014
32;43;0,077243
34;2;0,192039
30;87;0,069000
31;80;0,068996
33;43;0,077749
34;3;0,133749
32;44;0,076417
34;4;0,120546
33;44;0,077249
30;88;0,068825
31;81;0,068911
34;5;0,116542
32;45;0,075275
33;45;0,076749
34;6;0,119585
32;46;0,074600
31;82;0,067727
30;89;0,069442
33;46;0,076633
34;7;0,094517
32;47;0,074642
34;8;0,099562
33;47;0,075867
31;83;0,068461
30;90;0,068525
34;9;0,108384
32;48;0,074051
33;48;0,075031
31;84;0,067166
34;10;0,110329
32;49;0,074478
33;49;0,075162
34;11;0,100635
30;91;0,067131
31;85;0,065367
32;50;0,073494
34;12;0,093786
33;50;0,073837
34;13;0,096617
32;51;0,073766
30;92;0,069260
33;51;0,074530
31;86;0,067799
34;14;0,089706
32;52;0,072741
33;52;0,073564
34;15;0,093164
30;93;0,068941
31;87;0,068073
32;53;0,073438
33;53;0,074110
34;16;0,087336
31;88;0,068076
32;54;0,071270
30;94;0,068475
34;17;0,090876
33;54;0,071202
34;18;0,084976
32;55;0,067764
31;89;0,068719
30;95;0,068643
33;55;0,068917
34;19;0,076963
32;56;0,072052
33;56;0,072308
34;20;0,086612
31;90;0,067929
30;96;0,068223
32;57;0,071576
34;21;0,086776
33;57;0,071362
31;91;0,066921
30;97;0,067928
32;58;0,072081
34;22;0,091554
33;58;0,072123
2;55;0,460534
32;59;0,071680
34;23;0,089097
30;98;0,067682
31;92;0,068794
33;59;0,071500
34;24;0,088137
32;60;0,071014
33;60;0,072256
34;25;0,088077
31;93;0,068251
30;99;0,067335
32;61;0,067874
34;26;0,085930
33;61;0,068689
31;94;0,067692
34;27;0,082606
32;62;0,073401
