kernelSize;density;delta
8;76;0,085734
7;68;0,087900
5;51;0,053214
6;60;0,077111
4;42;0,092321
8;77;0,085886
7;69;0,086586
6;61;0,073352
2;22;0,318778
5;52;0,053908
8;78;0,085759
3;32;0,184797
4;43;0,098283
7;70;0,086906
8;79;0,084754
6;62;0,069811
5;53;0,054632
7;71;0,087300
8;80;0,084769
6;63;0,066786
1;11;0,452411
4;44;0,103919
7;72;0,086695
3;33;0,194007
8;81;0,083962
5;54;0,056058
6;64;0,064205
7;73;0,086579
8;82;0,082662
2;23;0,329608
4;45;0,110536
5;55;0,057609
6;65;0,061289
8;83;0,083404
7;74;0,085952
3;34;0,202758
8;84;0,081606
6;66;0,059017
7;75;0,086870
5;56;0,059688
4;46;0,116103
8;85;0,079447
7;76;0,086598
6;67;0,057056
8;86;0,083352
2;24;0,339707
5;57;0,061951
3;35;0,212059
7;77;0,086872
4;47;0,122747
6;68;0,055488
8;87;0,083386
7;78;0,086680
5;58;0,064960
8;88;0,083836
6;69;0,054111
4;48;0,128916
7;79;0,085385
8;89;0,084256
1;12;0,460039
3;36;0,220379
5;59;0,067519
6;70;0,053092
8;90;0,083586
7;80;0,082135
2;25;0,349597
4;49;0,134903
8;91;0,081775
5;60;0,070772
6;71;0,052824
7;81;0,079192
3;37;0,229131
8;92;0,084825
6;72;0,052079
7;82;0,076133
5;61;0,073981
4;50;0,140768
8;93;0,084424
7;83;0,073767
6;73;0,051567
8;94;0,083676
2;26;0,358033
5;62;0,077297
3;38;0,237265
4;51;0,146692
7;84;0,070946
8;95;0,083923
6;74;0,052268
7;85;0,068252
8;96;0,083330
5;63;0,080606
6;75;0,052487
4;52;0,153037
8;97;0,083134
7;86;0,066126
1;13;0,464233
3;39;0,244400
5;64;0,084824
6;76;0,053057
8;98;0,082542
7;87;0,063989
2;27;0,365746
4;53;0,158710
8;99;0,082372
6;77;0,053901
5;65;0,087985
7;88;0,061898
8;100;0,082093
9;1;0,291084
9;2;0,194134
3;40;0,252121
9;3;0,138840
9;4;0,122192
6;78;0,055015
7;89;0,060130
9;5;0,116490
9;6;0,118143
4;54;0,164312
5;66;0,091633
9;7;0,092782
9;8;0,098033
9;9;0,107894
9;10;0,107187
7;90;0,058206
9;11;0,099534
6;79;0,056371
9;12;0,093121
9;13;0,096154
9;14;0,090029
5;67;0,095410
9;15;0,092628
2;28;0,373778
4;55;0,170029
9;16;0,088268
7;91;0,056822
3;41;0,259367
9;17;0,090392
6;80;0,057262
9;18;0,084642
9;19;0,075194
9;20;0,083710
7;92;0,055897
5;68;0,099358
9;21;0,083369
9;22;0,088090
6;81;0,059147
9;23;0,086443
4;56;0,175500
9;24;0,084845
7;93;0,054601
9;25;0,084165
9;26;0,081317
5;69;0,102895
3;42;0,266074
1;14;0,469313
9;27;0,078939
6;82;0,060590
7;94;0,053451
9;28;0,078583
2;29;0,379807
9;29;0,079110
4;57;0,180797
9;30;0,075950
5;70;0,107017
6;83;0,062360
9;31;0,075489
7;95;0,052768
9;32;0,077664
9;33;0,074868
3;43;0,272825
9;34;0,093975
7;96;0,052276
6;84;0,064748
9;35;0,093622
4;58;0,186653
5;71;0,110972
9;36;0,090080
9;37;0,084439
7;97;0,051846
9;38;0,091743
6;85;0,066329
